decile,rows,exposure_sum,claims_sum,pred_rate_mean,pred_rate_median,obs_rate,obs_over_pred
0,13561,8644.225304286041,412,0.05277131283463895,0.054410134463448216,0.04766187662828724,0.9031777696650767
1,13560,8571.363480795286,551,0.0657905717403557,0.0658237095433469,0.06428382149870933,0.9770977785754348
2,13560,8387.524756340343,584,0.07482776252061606,0.07486637290116274,0.06962721624857675,0.9304997757936904
3,13560,8112.679839804975,646,0.08334650586451954,0.0833546382412157,0.07962843508631909,0.9553902021490354
4,13561,7735.67385208155,688,0.09212981924044338,0.09208646826285788,0.08893859968189712,0.9653617082410885
5,13560,7113.448437002479,736,0.10169308003879782,0.10164679028699557,0.10346599212999166,1.0174339501814424
6,13560,6508.380484314506,701,0.11267826361751297,0.1125438139627076,0.10770728627335817,0.9558834402966235
7,13560,5942.149891454962,820,0.12635024110567142,0.12605061582669205,0.13799719209022163,1.0921798872928896
8,13560,5544.573435881345,915,0.14931011275913844,0.14786999354544594,0.16502622078709198,1.105258161939146
9,13561,5264.099121935047,1206,0.23695517296571741,0.2113558837541288,0.22909902949484784,0.9668454443406214
