decile,policies,exposure_sum,pred_pure_sum,observed_claims_sum,observed_amount_sum,obs_over_pred_ratio
0,67802,3349.035804122106,666554.5288878626,1233,2013567.32,3.0208591086457854
1,67801,8239.3996586564,1712411.7232560946,1583,2342783.67,1.36811938284636
2,67801,18988.31,2965493.7384272735,2258,3564460.16,1.2019786498994207
3,67801,32263.56,4147758.542469226,2708,4265752.71,1.028447694416785
4,67802,42009.9,5187205.369527998,2975,4210094.23,0.8116305274381476
5,67801,47941.04,6171475.779953781,3452,4957456.38,0.803285398300166
6,67801,51568.65,7213917.438189799,3896,5540505.08,0.768030009696131
7,67801,54080.56,8467439.837633325,4501,6459883.26,0.7629086694291243
8,67801,53447.6,10475858.113649344,5426,7456957.59,0.7118230801812867
9,67802,46472.05,19953205.46490788,8070,19097756.1,0.957127221166926
