orig_decile,orig_rows,orig_true_mean,orig_true_median,orig_pred_mean,orig_pred_median,orig_ratio_true_over_pred_mean,cap_rows,cap_true_mean,cap_true_median,cap_pred_mean,cap_pred_median,cap_ratio_true_over_pred_mean
0,529,1871.8666918714555,1128.12,1111.302114646765,1132.9084346159502,1.6843904706025339,529,1677.557071493384,1128.12,1111.302114646765,1132.9084346159502,1.5095418692932183
1,529,1481.1273913043478,1128.12,1294.9902653448032,1295.6947937744922,1.1437363128826177,529,1481.1273913043478,1128.12,1294.9902653448032,1295.6947937744922,1.1437363128826177
2,529,1298.8727410207941,1128.12,1415.888949955972,1415.3576456241567,0.9173549529157519,529,1298.8727410207941,1128.12,1415.888949955972,1415.3576456241567,0.9173549529157519
3,529,1740.6832514177693,1128.12,1530.8449386900097,1530.332968517673,1.1370735254919577,529,1740.6832514177693,1128.12,1530.8449386900097,1530.332968517673,1.1370735254919577
4,529,1426.2721928166352,1168.82,1653.188021139667,1653.8051007456609,0.8627404593903351,529,1426.2721928166352,1168.82,1653.188021139667,1653.8051007456609,0.8627404593903351
5,528,2165.9609280303034,1172.0,1792.1935078095619,1792.8748751581957,1.2085530488711367,528,2165.9609280303034,1172.0,1792.1935078095619,1792.8748751581957,1.2085530488711367
6,529,2703.7635349716443,1172.0,1969.9898891959742,1965.540726115145,1.372475843556309,529,2319.009398185256,1172.0,1969.9898891959742,1965.540726115145,1.1771681727421097
7,529,2313.514310018904,1200.0,2174.119338211674,2170.2980477412425,1.064115602744185,529,2313.3064098676755,1200.0,2174.119338211674,2170.2980477412425,1.064019977749009
8,529,2681.725765595463,1172.0,2455.096091271781,2446.488061091644,1.092309899856622,529,2426.1496612854444,1172.0,2455.096091271781,2446.488061091644,0.9882096549747094
9,529,2301.6888846880906,1204.0,3071.384305545058,2963.2334593220576,0.7493978791688933,529,2301.6888846880906,1204.0,3071.384305545058,2963.2334593220576,0.7493978791688933
